uuid,name,type,primary_role,cb_url,domain,homepage_url,logo_url,facebook_url,twitter_url,linkedin_url,combined_stock_symbols,city,region,country_code,short_description
e1393508-30ea-8a36-3f96-dd3226033abd,Wetpaint,organization,company,https://www.crunchbase.com/organization/wetpaint?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,wetpaint.com,http://www.wetpaint.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180177/2036b3394a37152e0ff69f27c71bc883.jpg,https://www.facebook.com/Wetpaint,https://twitter.com/wetpainttv,https://www.linkedin.com/company/wetpaint,,New York,New York,USA,Wetpaint offers an online social publishing platform that helps digital publishers grow their customer base.
bf4d7b0e-b34d-2fd8-d292-6049c4f7efc7,Zoho,organization,company,https://www.crunchbase.com/organization/zoho?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,zoho.com,https://www.zoho.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180181/f8aaab73f17af0296eba5deda7a5b95b.png,http://www.facebook.com/zoho,http://twitter.com/zoho,http://www.linkedin.com/company/zoho-corporation_38373,,Pleasanton,California,USA,"Zoho offers a suite of business, collaboration, and productivity applications."
5f2b40b8-d1b3-d323-d81a-b7a8e89553d0,Digg,organization,company,https://www.crunchbase.com/organization/digg?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,digg.com,http://www.digg.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180182/e77f8f561153ffb45a9ffd538978380d.jpg,http://www.facebook.com/digg,http://twitter.com/digg,http://www.linkedin.com/company/digg,,New York,New York,USA,"Digg Inc. operates a website that enables its users to find, read, and share the most interesting and talked about stories on the internet."
df662812-7f97-0b43-9d3e-12f64f504fbb,Facebook,organization,company,https://www.crunchbase.com/organization/facebook?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,facebook.com,http://www.facebook.com,https://res.cloudinary.com/crunchbase-production/image/upload/rde5yhdgakaqryj6zpu6,https://www.facebook.com/facebook/,https://twitter.com/facebook,http://www.linkedin.com/company/facebook,nasdaq:FB,Menlo Park,California,USA,Facebook is an online social networking service that enables its users to connect with friends and family.
b08efc27-da40-505a-6f9d-c9e14247bf36,Accel,organization,investor,https://www.crunchbase.com/organization/accel?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,accel.com,http://www.accel.com,https://res.cloudinary.com/crunchbase-production/image/upload/kxcwecxf439wsgluv7jv,http://www.facebook.com/accel,http://twitter.com/accel,https://www.linkedin.com/company/accel-vc/,,Palo Alto,California,USA,Accel is an early and growth-stage venture capital firm that powers a global community of entrepreneurs.
60485007-8856-bbac-aa1b-c535c41f5f47,Omnidrive,organization,company,https://www.crunchbase.com/organization/omnidrive?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,omnidrive.com,http://www.omnidrive.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397180186/92c052d6a6a731bb201d95b927a7ff91.jpg,http://www.facebook.com/Nomadesk,http://twitter.com/Nomadesk,,,Palo Alto,California,USA,"Omnidrive provides online storage facilities that allow users to access, edit and share their files via a web browser."
c99a79a6-aae3-4b86-8c84-99f339ea37db,𠮷 River Information System,organization,company,https://www.crunchbase.com/organization/?-river-information-system?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,yjs.co.jp,http://www.yjs.co.jp/,https://res.cloudinary.com/crunchbase-production/image/upload/thlah6xf7ix0nr0qhd9n,,,,,Osaka-shi,Osaka,JPN,
7e44e261-585d-4263-99e3-00a98e8988d6,ZPA Nová Paka,organization,company,https://www.crunchbase.com/organization/zpa-nová-paka?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,zpanp.cz,https://www.zpanp.cz/,https://res.cloudinary.com/crunchbase-production/image/upload/7aed7cfa368a5e4b3134,,,,,Nova Paka,Liberecky kraj,CZE,
dde90172-f784-4ccb-9a42-b5b75047a0b1,《期货日报》社有限公司,organization,company,https://www.crunchbase.com/organization/期货日报-社有限公司?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,qhrb.com.cn,http://qhrb.com.cn,https://res.cloudinary.com/crunchbase-production/image/upload/ieqqojalus5ceqgjouv2,,,,,,,,
1bf2f0d9-b344-085d-2130-91a7746c1020,"""Believe & Succeed""",organization,company,https://www.crunchbase.com/organization/believe-succeed?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,believe-succeed.com,http://www.believe-succeed.com,,,,,,Saint Paul,Minnesota,USA,
